源岗位,目标岗位,转换依据,需补充能力
测试工程师,软件测试,具备软件测试经验，熟悉测试流程，掌握测试工具，具备质量意识,软件测试深入; 自动化测试进阶; 性能测试进阶
测试工程师,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
测试工程师,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,测试工程师,具备软件测试经验，熟悉测试流程，掌握测试工具，具备质量意识,测试策略制定; 测试平台搭建; 团队管理能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
硬件测试,测试工程师,具备测试经验，熟悉测试流程，掌握测试工具，具备质量意识,软件测试基础; 自动化测试基础; 性能测试基础
硬件测试,软件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,软件测试流程; 测试工具使用; 缺陷管理流程
硬件测试,Java,具备系统理解能力，具备逻辑思维能力，了解系统功能,Java编程学习; 后端开发框架; 代码编写能力
Java,测试工程师,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
前端开发,测试工程师,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
